DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
4160.7040,4237.3760,76.6720,1.8428,0.0083,0.0197,0.0114
4162.6540,4240.7820,78.1280,1.8769,0.5015,0.1906,-0.3109
4163.6370,4256.5160,92.8790,2.2307,0.1305,0.0165,-0.1140
4168.8590,4250.0220,81.1630,1.9469,0.0000,0.0000,0.0000
4170.8500,4251.3200,80.4700,1.9293,0.1861,0.0602,-0.1258
4173.6480,4251.4800,77.8320,1.8648,0.3537,1.6186,1.2650
4173.9440,4256.8060,82.8620,1.9852,0.0202,0.0028,-0.0175
4176.8590,4243.9390,67.0800,1.6060,0.1378,0.0000,-0.1378
4177.9760,4247.1200,69.1440,1.6550,0.0040,0.0030,-0.0010
4201.4830,4281.1070,79.6240,1.8951,0.0605,0.1865,0.1260
4204.6860,4300.6550,95.9690,2.2824,0.1145,0.1006,-0.0139
4207.0650,4289.7720,82.7070,1.9659,0.0000,0.0000,0.0000
4207.4430,4318.8360,111.3930,2.6475,0.0752,0.4090,0.3338
4211.8770,4293.3420,81.4650,1.9342,0.0000,0.0000,0.0000
4211.9500,4311.1990,99.2490,2.3564,0.0000,0.0000,0.0000
4213.6980,4304.8140,91.1160,2.1624,0.0264,0.0154,-0.0110
4214.1880,4283.1790,68.9910,1.6371,0.0928,0.3963,0.3035
4214.8570,4285.6740,70.8170,1.6802,0.1817,0.0611,-0.1206
4216.6120,4303.0240,86.4120,2.0493,0.2368,0.1755,-0.0613
4217.4040,4292.9180,75.5140,1.7905,0.2850,0.0261,-0.2588
4218.1400,4302.9780,84.8380,2.0113,0.1280,0.1126,-0.0154
4218.3760,4309.9790,91.6030,2.1715,0.0000,0.0000,0.0000
4221.0250,4308.2320,87.2070,2.0660,0.0006,0.1483,0.1477
4224.2880,4320.6030,96.3150,2.2800,0.0019,0.2828,0.2810
4226.3290,4296.8350,70.5060,1.6683,0.0995,0.0058,-0.0937
4227.7920,4300.3260,72.5340,1.7156,0.1435,0.0878,-0.0557
4228.8510,4303.5620,74.7110,1.7667,0.1420,0.0405,-0.1015
4229.7030,4317.0470,87.3440,2.0650,0.0079,0.0276,0.0197
4229.9190,4328.7630,98.8440,2.3368,0.0766,0.0668,-0.0098
4231.1070,4313.7100,82.6030,1.9523,0.0000,0.0000,0.0000
4234.9970,4309.0160,74.0190,1.7478,0.0000,0.0000,0.0000
4237.0280,4329.8560,92.8280,2.1909,0.0562,0.0010,-0.0552
4238.9430,4325.0480,86.1050,2.0313,0.0526,0.0094,-0.0431
4240.4750,4325.1280,84.6530,1.9963,0.2153,0.3056,0.0903
4241.0790,4327.0690,85.9900,2.0276,0.2204,0.2769,0.0565
4242.8490,4318.1470,75.2980,1.7747,0.0388,0.2746,0.2359
4244.8050,4323.2200,78.4150,1.8473,0.0013,0.2824,0.2811
4257.6450,4351.5060,93.8610,2.2045,0.0000,0.0000,0.0000
4260.5520,4349.8410,89.2890,2.0957,0.1938,0.0141,-0.1797
4262.0900,4358.8610,96.7710,2.2705,0.0715,0.0923,0.0208
4266.7490,4359.2280,92.4790,2.1674,0.0015,0.5833,0.5818
4266.8250,4351.3130,84.4880,1.9801,0.1082,0.1063,-0.0019
4270.9780,4349.3660,78.3880,1.8354,0.0856,0.1245,0.0389
4272.1030,4352.3770,80.2740,1.8790,0.0000,0.0000,0.0000
4273.6410,4361.8270,88.1860,2.0635,0.0000,0.0000,0.0000
4274.2860,4357.0820,82.7960,1.9371,0.0734,0.4583,0.3849
4275.4970,4360.3970,84.9000,1.9857,0.0104,0.1950,0.1846
4277.9870,4365.8160,87.8290,2.0530,0.0029,0.8020,0.7991
4283.4200,4370.7630,87.3430,2.0391,0.0000,0.0000,0.0000
4284.4030,4375.6430,91.2400,2.1296,0.0610,0.0068,-0.0542
4286.2490,4359.5900,73.3410,1.7111,0.0234,0.1131,0.0897
4287.2970,4362.6130,75.3160,1.7567,0.1648,0.5600,0.3953
