DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
1147.9150,1170.3940,22.4790,1.9582,,0.0013,0.0260,0.0246
1148.6020,1178.0710,29.4690,2.5656,,1.2333,0.1537,-1.0796
1148.6180,1191.3590,42.7410,3.7211,,0.7344,0.2622,-0.4722
1149.4210,1172.7300,23.3090,2.0279,,0.1209,0.1833,0.0623
1149.5280,1186.1540,36.6260,3.1862,,11.5480,1.2058,-10.3422
1152.9880,1170.9990,18.0110,1.5621,,0.0017,0.0093,0.0075
1155.2630,1169.5300,14.2670,1.2350,,9.0989,13.1249,4.0260
1158.2370,1173.9920,15.7550,1.3603,,7.4684,5.2738,-2.1946
1159.5110,1180.6460,21.1350,1.8228,,15.5373,0.5044,-15.0329
1162.8390,1187.9220,25.0830,2.1570,,24.9063,0.1234,-24.7829
1167.3900,1187.2910,19.9010,1.7047,,0.5189,0.0411,-0.4778
1169.4890,1182.1150,12.6260,1.0796,,0.8381,5.1072,4.2692
1171.1530,1162.8740,-8.2790,-0.7069,0.9943,191.6995,0.0000,-191.6995
1172.7830,1210.3520,37.5690,3.2034,,0.0197,0.0396,0.0199
1175.5910,1176.0960,0.5050,0.0430,,0.6442,0.5734,-0.0708
1177.5340,1203.8310,26.2970,2.2332,,15.0577,360.5951,345.5374
1179.5250,1181.3790,1.8540,0.1572,0.9892,77.1714,0.0000,-77.1714
1181.0400,1198.6880,17.6480,1.4943,,7.3962,6.1104,-1.2858
1181.2880,1198.7670,17.4790,1.4797,,8.6643,4.2844,-4.3798
1182.7870,1195.9720,13.1850,1.1147,,0.4879,910.1925,909.7046
1184.5300,1205.5670,21.0370,1.7760,0.9801,243.6794,0.0000,-243.6794
1184.6950,1200.9330,16.2380,1.3706,,108.2386,186.6843,78.4457
1186.3980,1208.7250,22.3270,1.8819,,54.0434,126.3879,72.3445
1187.0480,1226.5900,39.5420,3.3311,,0.0064,0.7389,0.7325
1189.3230,1219.1940,29.8710,2.5116,,0.5042,1.1652,0.6610
1190.4690,1213.2470,22.7780,1.9134,,9.2628,410.0189,400.7561
1192.1200,1199.7660,7.6460,0.6414,,9.9998,1.5645,-8.4353
1193.2780,1219.6140,26.3360,2.2070,,0.0002,0.0044,0.0042
1206.7720,1193.3190,-13.4530,-1.1148,,0.2959,1.1426,0.8467
1207.5260,1235.9980,28.4720,2.3579,,4.5019,0.0092,-4.4928
1211.1870,1241.1030,29.9160,2.4700,,2.3815,5.1430,2.7615
1211.6550,1235.4070,23.7520,1.9603,,2.1958,10.1788,7.9830
1212.9950,1241.6730,28.6780,2.3642,,0.0075,0.8314,0.8238
1213.9900,1232.3360,18.3460,1.5112,,26.7571,5.2904,-21.4668
1214.6270,1234.9590,20.3320,1.6739,,0.3501,4.5815,4.2314
1214.8490,1213.5760,-1.2730,-0.1048,,1.2700,7.7812,6.5112
1217.4610,1225.5760,8.1150,0.6666,,704.4066,15.9338,-688.4728
1218.0070,1248.0950,30.0880,2.4703,,19.1691,19.9967,0.8276
1219.1290,1243.0050,23.8760,1.9584,,54.1456,8.1821,-45.9635
1220.5070,1233.7970,13.2900,1.0889,,0.7608,6.0011,5.2402
1221.5220,1244.0300,22.5080,1.8426,,0.0237,0.0189,-0.0048
1221.9340,1238.6370,16.7030,1.3669,,0.0636,0.0046,-0.0590
1225.2490,1248.7060,23.4570,1.9145,,1.5654,2.5781,1.0127
1227.5220,1259.5660,32.0440,2.6105,,6.3750,6.4983,0.1233
1230.8020,1235.3910,4.5890,0.3728,0.9847,5.2378,0.0000,-5.2378
1232.8820,1245.9030,13.0210,1.0561,,0.7014,0.0008,-0.7006
1232.9270,1265.3960,32.4690,2.6335,,14.8081,7.6786,-7.1295
1234.0830,1254.7240,20.6410,1.6726,,22.3178,0.8415,-21.4764
1235.4650,1260.3960,24.9310,2.0179,,0.3219,0.0994,-0.2225
1239.7420,1253.1680,13.4260,1.0830,,0.1093,0.2799,0.1706
1242.3740,1262.1000,19.7260,1.5878,,1.0724,1.6870,0.6146
1247.9770,1264.0310,16.0540,1.2864,,1.8415,12.1393,10.2978
1251.5330,1282.7900,31.2570,2.4975,,1.9045,12.8937,10.9893
1251.6230,1271.1850,19.5620,1.5629,,0.2028,35.7124,35.5096
1251.9480,1261.0320,9.0840,0.7256,,0.0243,0.0106,-0.0137
1252.8050,1255.4210,2.6160,0.2088,,0.3402,0.1804,-0.1598
1254.5150,1278.6640,24.1490,1.9250,,0.5736,0.9931,0.4194
1259.3900,1292.4860,33.0960,2.6279,,0.0225,0.1090,0.0864
1259.5110,1281.4020,21.8910,1.7381,,0.2284,7.2882,7.0598
1259.9900,1275.0270,15.0370,1.1934,,0.9495,0.4687,-0.4808
